2018-11-05 03:32:21,422 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:32:21,423 [Worker-29: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:32:21,424 [Worker-29: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:40:09,093 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:40:09,094 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:40:09,095 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:40:09,096 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:55:07,453 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:55:07,457 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:55:07,459 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:55:07,460 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 03:55:13,525 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:55:13,527 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 03:55:13,529 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 03:55:13,530 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
2018-11-05 05:29:05,252 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 05:29:05,254 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/main/resources
2018-11-05 05:29:05,256 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-05 05:29:05,256 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vanessa/eclipse-workspace/GitHub/Iteration_1/comp3004project/src/testPackage/src/test/resources
